ID	UNNAMED	ORP	ORF	ORT	PHM	PHT	IPA	TRA	CONCEPT	CSA	SRC	REF	COA	EML_(AUTEUR)	EMF_(AUTEUR)	EMT_(AUTEUR)	EML_(SAISIE)	EMF_(SAISIE)	EMT_(SAISIE)	CGR	DV	TOKENS	DOCULECT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT	COGIDS	STRUCTURE	PATTERNS
1790	866	0	0	apiti			apiti	matar [gente] fazendo grande estrago	kill (trans) doing great damage		2	31										a p i t i	Tupinamba	7 1 7 1 7	XBYBZ	APITI	3	3.A.V 3.P.C 3.I.V 3.T.C 3.I.V	1.5 1.75 1.3 1.75 0.8	0	1247	a p i t i	1247	c c c c c	0/n 0/n 0/n 0/n 0/n
1739	337	0	0	anama			anama	parente, raça, nação	kin, race, nation		2	28										a n a m a	Tupinamba	7 4 7 4 7	XBYBZ	ANAMA	3	3.A.V 3.N.C 3.A.V 3.M.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	1248	a n a m a	1248	c c c c c	0/n 0/n 0/n 0/n 0/n
2906	1644	1205	2	pytera			pɨteɾa	beijar	kiss		2	135								tr.		p ɨ t e ɾ a	Tupinamba	1 7 1 7 5 7	AXBYBZ	PITERA	3	3.P.C 3.I.V 3.T.C 3.E.V 3.R.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1249	p ɨ t e ɾ a	1249	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
819	954	954	1	chimirika			tʃimiɾika	amasar, sobar, dando forma circular. En castellano amazónico se dice 'apiachar'. Por ejemplo: plátano para tacacho, fariña con maduro o huevo de taricaya para el aradú, greda para hacer tinaja, otros	knead, rub (trans)		9	47								V.		tʃ i m i ɾ i k a	Kokama	1 7 4 7 5 7 1 7	AXBYBYBZ	TIMIRIKA	1	1.T.C 1.I.V 1.M.C 1.I.V 1.R.C 1.I.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	1250	tʃ i m i ɾ i k a	1250	c c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
430	57	0	0		sɪnupua		sɪnupua	knee front part	knee													s + ɪ n u p u a	Omagua	3 7 4 7 1 7 7	AXBYBYZ	SINYPYA	2	2.S.C 2.I.V 2.N.C 2.Y.V 2.P.C 2.Y.V 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	1251	s + ɪ n u p u - a	952 1251	c + c c c c c c	23-deaffric_i/tʃ + 19-gen_e/e 35-nd>n/n 186-2/e 6-gen_p/p 187-1/j 13-glott_loss/- 26-nas_a/a
1342	83	0	0	tsenepia ~ tsenepa			tsenepja	rodilla, partes blandas y duras que forman la unión del muslo con la pierna	knee	OL: Also /tsenepa/	9	213								N.		ts + e n e p j a	Kokama	2 7 4 7 1 6 7	AXBYBCZ	CENEPJA	1	1.C.C 1.E.V 1.N.C 1.E.V 1.P.C 1.J.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	0	1251	ts + e n e p j - a	952 1251	c + c c c c c c	23-deaffric_i/tʃ + 19-gen_e/e 35-nd>n/n 186-2/e 6-gen_p/p 187-1/j 13-glott_loss/- 26-nas_a/a
2138	88	88	2	endypyã			endɨpɨʔã	joelho	knee	OL: Several cognates have /ʔ/.	2	56										e nd ɨ p ɨ ʔ ã	Tupinamba	7 4 1 7 1 7 1 7	XMBYBYBZ	ENTIPIHA	3	3.E.V 3.N.c 3.T.C 3.I.V 3.P.C 3.I.V 3.H.C 3.A.V	1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	0	1252	e nd ɨ p ɨ ʔ ã	1251	c c c c c c c	19-gen_e/e 35-nd>n/n 186-2/e 6-gen_p/p 187-1/j 13-glott_loss/- 26-nas_a/a
2699	89	0	0	penaranga			penaɾaŋa	rótula	kneecap		2	122										p e n a ɾ a ŋ a	Tupinamba	1 7 4 7 5 7 4 7	AXBYBYBZ	PENARANA	3	3.P.C 3.E.V 3.N.C 3.A.V 3.R.C 3.A.V 3.N.C 3.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	1253	p e n a ɾ a ŋ a	1253	c c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
208	367	0	0		kɨʃi		kɨʃi		knife													k ɨ ʃ i	Omagua	1 7 3 7	AXBZ	KISI	2	2.K.C 2.I.V 2.S.C 2.I.V	2.0 1.5 1.75 0.8	0	1254	k ɨ ʃ i	1390	c c c c	4-gen_k/k 9-gen_ɨ/ɨ 23-deaffric_i/tʃ 34-fin_e>i/i
1031	495	0	0	kɨchikɨra			kɨtʃikɨɾa	cuchillo	knife		9	103								N.		k ɨ tʃ i k ɨ ɾ a	Kokama	1 7 1 7 1 7 5 7	AXBYBYBZ	KITIKIRA	1	1.K.C 1.I.V 1.T.C 1.I.V 1.K.C 1.I.V 1.R.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	1255	k ɨ tʃ i k ɨ ɾ a	1255	c c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
2932	574	0	0	quyssé			kɨsé	faca	knife		2	137										k ɨ s é	Tupinamba	1 7 3 7	AXBZ	KISE	3	3.K.C 3.I.V 3.S.C 3.E.V	2.0 1.5 1.75 0.8	0	1254	k ɨ s é	1390	c c c c	4-gen_k/k 9-gen_ɨ/ɨ 23-deaffric_i/tʃ 34-fin_e>i/i
2213	1461	1001	2	ityca			itɨka	derrubar	knock down		2	71	(inf. eityca)							tr. irr.		i t ɨ k a	Tupinamba	7 1 7 1 7	XBYBZ	ITIKA	3	3.I.V 3.T.C 3.I.V 3.K.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	1256	i t ɨ k a	1256	c c c c c	0/n 0/n 0/n 0/n 0/n
2513	907	0	0	mongúia			moŋgúja	derrubar, desmanchar	knock down, undo, break up		2	98										m o ŋg ú j a	Tupinamba	4 7 4 1 7 6 7	AXMBYBZ	MUNKYJA	3	3.M.C 3.U.V 3.N.c 3.K.C 3.Y.V 3.J.C 3.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	1257	m o ŋg ú j a	1257	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
1272	1139	1005	2	tɨkɨta			tɨkɨta	amarrado simple o nudo	knot		9	192								N.		t ɨ k ɨ t a	Kokama	1 7 1 7 1 7	AXBYBZ	TIKITA	1	1.T.C 1.I.V 1.K.C 1.I.V 1.T.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1258	t ɨ k ɨ t a	1258	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
2857	1636	56	2	puruã			puɾuʔã	nó [de madeira, ets.]	knot (in wood/tree)		2	132										p u ɾ u ʔ ã	Tupinamba	1 7 5 7 1 7	AXBYBZ	PYRYHA	3	3.P.C 3.Y.V 3.R.C 3.Y.V 3.H.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	1	1259	p u ɾ u ʔ ã	1259	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
2139	1450	88	1	endypyã			endɨpɨʔã	nó (p. ex. de cana)	knot, knob (for example, in a cane/reed)		2	56										e nd ɨ p ɨ ʔ ã	Tupinamba	7 4 1 7 1 7 1 7	XMBYBYBZ	ENTIPIHA	3	3.E.V 3.N.c 3.T.C 3.I.V 3.P.C 3.I.V 3.H.C 3.A.V	1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	1	1260	e nd ɨ p ɨ ʔ ã	1260	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
61	565	0	0		ikua		ikua		know (trans)													i + k u a	Omagua	7 1 7 7	XBYZ	IKYA	2	2.I.V 2.K.C 2.Y.V 2.A.V	1.5 1.75 1.3 0.8	0	1261	i + k u - a - -	212 1261	c + c c c	8-gen_i/i + 4-gen_k/k 5-gen_u/u 84-3/- 1-gen_a/a 20-fin_b_loss/- 10-fin_a_loss/-
859	838	838	1	ikua			ikua	saber, conocer	know (trans)		9	58								V.		i + k u a	Kokama	7 1 7 7	XBYZ	IKYA	1	1.I.V 1.K.C 1.Y.V 1.A.V	1.5 1.75 1.3 0.8	1	1261	i + k u - a - -	212 1261	c + c c c	8-gen_i/i + 4-gen_k/k 5-gen_u/u 84-3/- 1-gen_a/a 20-fin_b_loss/- 10-fin_a_loss/-
2026	1013	0	0	cuaba			kugʷaβa	saber, conhecer	know (trans)		2	47										k u gʷ a β a	Tupinamba	1 7 1 7 3 7	AXBYBZ	KYKABA	3	3.K.C 3.Y.V 3.K.C 3.A.V 3.B.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1262	k u gʷ a β a	1261	c c c c c c	4-gen_k/k 5-gen_u/u 84-3/- 1-gen_a/a 20-fin_b_loss/- 10-fin_a_loss/-
2080	1437	966	2	é catu			é katu	saber fazer	know how to do		2	53	[essé]									é _ k a t u	Tupinamba	7 9 1 7 1 7	X_AXBZ	E_KATY	3	3.E.V 3._._ 3.K.C 3.A.V 3.T.C 3.Y.V	1.5 0.0 2.0 1.5 1.75 0.8	1	1263	é _ k a t u	53 1040	c _ c c c c	34-fin_e>i/i + 4-gen_k/k 1-gen_a/a 7-gen_t/t 5-gen_u/u
2869	1154	1154	1	pyara			pɨaɾa	saber bem	know well		2	132										p ɨ a ɾ a	Tupinamba	1 7 7 5 7	AXYBZ	PIARA	3	3.P.C 3.I.V 3.A.V 3.R.C 3.A.V	2.0 1.5 1.3 1.75 0.8	0	1264	p ɨ a ɾ a	1264	c c c c c	0/n 0/n 0/n 0/n 0/n
136	279	0	0		ɨpasu		ɨpasu		lake													ɨ p a s u	Omagua	7 1 7 3 7	XBYBZ	IPASY	2	2.I.V 2.P.C 2.A.V 2.S.C 2.Y.V	1.5 1.75 1.3 1.75 0.8	0	1265	ɨ p a - - s u	1265	c c c c c	52-u>ɨ_lab/ɨ 6-gen_p/p 1-gen_a/a 20-fin_b_loss/- 1111-fin_a_morph/a 81-4/ts 114-2/u
936	364	0	0	ɨpatsu			ɨpatsu	cocha, lago que se alimenta por una entrada y desemboca por una salida diferente	lake		9	78								N.		ɨ p a ts u	Kokama	7 1 7 2 7	XBYBZ	IPACY	1	1.I.V 1.P.C 1.A.V 1.C.C 1.Y.V	1.5 1.75 1.3 1.75 0.8	0	1265	ɨ p a - - ts u	1265	c c c c c	52-u>ɨ_lab/ɨ 6-gen_p/p 1-gen_a/a 20-fin_b_loss/- 1111-fin_a_morph/a 81-4/ts 114-2/u
3127	419	0	0	upaba			upaβa	lagoa, lago	lake		2	157										u p a β a	Tupinamba	7 1 7 3 7	XBYBZ	YPABA	3	3.Y.V 3.P.C 3.A.V 3.B.C 3.A.V	1.5 1.75 1.3 1.75 0.8	1	1266	u p a β a - -	1265	c c c c c	52-u>ɨ_lab/ɨ 6-gen_p/p 1-gen_a/a 20-fin_b_loss/- 1111-fin_a_morph/a 81-4/ts 114-2/u
548	299	0	0		tuyuka		tujuka		land, ground, earth													t u j u k a	Omagua	1 7 6 7 1 7	AXBYBZ	TYJYKA	2	2.T.C 2.Y.V 2.J.C 2.Y.V 2.K.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	1	1267	t u j u k a	1267	c c c c c c	7-gen_t/t 5-gen_u/u 15-gen_j/j 5-gen_u/u 4-gen_k/k 1-gen_a/a
1411	387	387	1	tuyuka			tujuka	tierra	land, ground, earth		9	198								N.		t u j u k a	Kokama	1 7 6 7 1 7	AXBYBZ	TYJYKA	1	1.T.C 1.Y.V 1.J.C 1.Y.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	1	1267	t u j u k a	1267	c c c c c c	7-gen_t/t 5-gen_u/u 15-gen_j/j 5-gen_u/u 4-gen_k/k 1-gen_a/a
1412	388	0	0	tuyuka			tujuka	tierra	land, ground, earth		9	198								N.		t u j u k a	Kokama	1 7 6 7 1 7	AXBYBZ	TYJYKA	1	1.T.C 1.Y.V 1.J.C 1.Y.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	1	1267	t u j u k a	1267	c c c c c c	7-gen_t/t 5-gen_u/u 15-gen_j/j 5-gen_u/u 4-gen_k/k 1-gen_a/a
1893	451	0	0	aupaba			aupaβa	pátria, terra de origem	land, ground, earth	OL: Either /aupaβa/ or /aʔupaβa/. Given by Lemos Barbosa as <aupaba>.	2	39										a u p a β a	Tupinamba	7 7 1 7 3 7	XYBYBZ	AYPABA	3	3.A.V 3.Y.V 3.P.C 3.A.V 3.B.C 3.A.V	1.5 1.3 1.75 1.3 1.75 0.8	0	1270	a u p a β a	1270	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
2169	452	0	0	etama			etama	terra, região, residência, pátria	land, ground, earth		2	60									(t)	t e t a m a	Tupinamba	7 1 7 4 7	XBYBZ	ETAMA	3	3.E.V 3.T.C 3.A.V 3.M.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	1269	t e t a m a	2412	c c c c c c	83-4/ɾ 24-med_e>i/i 7-gen_t/t 1-gen_a/a 12-gen_m/m 1-gen_a/a
3188	450	0	0	yby			ɨβɨ	terra, chão	land, ground, earth		2	161										ɨ β ɨ	Tupinamba	7 3 2007	XBZ	IBI	3	3.I.V 3.B.C 3.I.V	1.5 1.75 0.8	0	1268	ɨ β ɨ	1268	c c c	9-gen_ɨ/ɨ 17-b>w/w 9-gen_ɨ/ɨ
966	1093	424	2	ɨwama			ɨwama	derrumbar, desbarrancar. Durante cada período de lluvia, la creciente de los ríos inunda las chacras o las comunidades que están  ubicadas a las orillas. Muchas veces las crecientes son tan grandes que se llevan trozos de terreno con todo lo que allí existe	landslide		9	82								V.		ɨ w a m a	Kokama	7 6 7 4 7	XBYBZ	IWAMA	1	1.I.V 1.W.C 1.A.V 1.M.C 1.A.V	1.5 1.75 1.3 1.75 0.8	1	1271	ɨ w a m a	1271	c c c c c	0/n 0/n 0/n 0/n 0/n
1049	1200	884	3	kumitsa			kumitsa	lengua o idioma	language		9	110								N.		k u m i ts a	Kokama	1 7 4 7 2 7	AXBYBZ	KYMICA	1	1.K.C 1.Y.V 1.M.C 1.I.V 1.C.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1272	k u m i ts a	1272	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
1763	1349		1	anhurĩ			aɲuɾĩ	colo	lap		2	29										a ɲ u ɾ ĩ	Tupinamba	7 4 7 5 7	XBYBZ	ANYRI	3	3.A.V 3.N.C 3.Y.V 3.R.C 3.I.V	1.5 1.75 1.3 1.75 0.8	0	1273	a ɲ u ɾ ĩ	1273	c c c c c	0/n 0/n 0/n 0/n 0/n
308	158	0	0		mututu		mututu	suri	larva, maggot, grub													m u t u t u	Omagua	4 7 1 7 1 7	AXBYBZ	MYTYTY	2	2.M.C 2.Y.V 2.T.C 2.Y.V 2.T.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1276	m u t u t u	1276	c c c c c c	12-gen_m/m 5-gen_u/u 7-gen_t/t 5-gen_u/u 7-gen_t/t 5-gen_u/u
578	156	0	0		uɾa		uɾa	gusano	larva, maggot, grub													u ɾ a	Omagua	7 5 2007	XBZ	YRA	2	2.Y.V 2.R.C 2.A.V	1.5 1.75 0.8	0	1275	u ɾ a	346	c c c	5-gen_u/u 3-gen_ɾ/ɾ 1-gen_a/a
1454	205	205	1	ura			uɾa	gusano, nombre genérico para hacer referencia a todos los gusanos. Hay dos tipos de gusano: los que se comen y los que no se comen. Los que se comen son los suris y los gusanos que no se comen viven en cualquier palo podrido.	larva, maggot, grub		9	231								N.		u ɾ a	Kokama	7 5 2007	XBZ	YRA	1	1.Y.V 1.R.C 1.A.V	1.5 1.75 0.8	0	1275	u ɾ a	346	c c c	5-gen_u/u 3-gen_ɾ/ɾ 1-gen_a/a
1860	215	0	0	assoca			asoka	de vários vermes que dão em frutas e carnes	larva, maggot, grub		2	36								n.	(s)	s a s o k a	Tupinamba	7 3 7 1 7	XBYBZ	ASUKA	3	3.A.V 3.S.C 3.U.V 3.K.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	1274	s a s o k a	1274	c c c c c c	11-deaffric/ts 1-gen_a/a 11-deaffric/ts 14-o>u/u 4-gen_k/k 1-gen_a/a
3258	217	0	0	yssoca			ɨsoka	nome de vários insetos, vermes, etc. que dão na madeira, carne, etc.	larva, maggot, grub		2	166										s ɨ s o k a	Tupinamba	7 3 7 1 7	XBYBZ	ISUKA	3	3.I.V 3.S.C 3.U.V 3.K.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	1274	s ɨ s o k a	1274	c c c c c c	11-deaffric/ts 1-gen_a/a 11-deaffric/ts 14-o>u/u 4-gen_k/k 1-gen_a/a
3037	218	0	0	tapuru			tapuɾu	vard. verme	larva, maggot, grub sp.		2	149										t a p u ɾ u	Tupinamba	1 7 1 7 5 7	AXBYBZ	TAPYRY	3	3.T.C 3.A.V 3.P.C 3.Y.V 3.R.C 3.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1277	t a p u ɾ u	1277	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
1134	207	0	0	mututu			mututu	gusano parecido al suri pero que no se puede comer. Vive en cualquier palo podrido. Este gusano ataca al plátano y puede destruir su cogollo	larva, maggot, grub sp.		9	143								N.		m u t u t u	Kokama	4 7 1 7 1 7	AXBYBZ	MYTYTY	1	1.M.C 1.Y.V 1.T.C 1.Y.V 1.T.C 1.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1278	m u t u t u	1276	c c c c c c	12-gen_m/m 5-gen_u/u 7-gen_t/t 5-gen_u/u 7-gen_t/t 5-gen_u/u
2234	216	0	0	jaratitá			jaɾatitá	verme (que dá em frutas e carnes)	larva, maggot, grub sp. that appears in fruits and meats		1	209										j a ɾ a t i t á	Tupinamba	6 7 5 7 1 7 1 7	AXBYBYBZ	JARATITA	3	3.J.C 3.A.V 3.R.C 3.A.V 3.T.C 3.I.V 3.T.C 3.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	1279	j a ɾ a t i t á	1279	c c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
1455	1170	205	2	ura			uɾa	suri, tipo de gusano de color blanco y cabeza marrón. Los que se comen son los suri, que vive en los troncos caídos de las palmeras y son muy apreciado para la alimentación. Hay tres tipos de suri, dependiendo del tipo de palmera en el que viven. El suri de aguaje es el más grande, el de la pona es mediano y el de la shapaja el más pequeño. El suri debe ser cogido aproximadamente a los tres meses de caída una palmera, si no es recogido en este tiempo se transforma en papaso y se hecha a volar.	larva, maggot, grub sp., palm weevil, suri		9	231								N.		u ɾ a	Kokama	7 5 2007	XBZ	YRA	1	1.Y.V 1.R.C 1.A.V	1.5 1.75 0.8	1	1280	u ɾ a	346	c c c	5-gen_u/u 3-gen_ɾ/ɾ 1-gen_a/a
2896	408	0	0	pyssajé			pɨsajé	alta noite	late at night		2	134										p ɨ s a j é	Tupinamba	1 7 3 7 6 7	AXBYBZ	PISAJE	3	3.P.C 3.I.V 3.S.C 3.A.V 3.J.C 3.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1281	p ɨ s a j é	1546	c c c c c c	6-gen_p/p 9-gen_ɨ/ɨ 11-deaffric/ts 1-gen_a/a 32-15/- 192-2/-
739	1064	333	2	aipuka			ajpuka	actualmente, en los últimos tiempos	lately, recently		9	21								Adv.		a j p u k a	Kokama	7 6 1 7 1 7	XMBYBZ	AJPYKA	1	1.A.V 1.J.c 1.P.C 1.Y.V 1.K.C 1.A.V	1.5 1.1 1.75 1.3 1.75 0.8	0	1283	a j p u k a	1283	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
2942	1652	377	2	ramó			ɾamó	ùltimamente	lately, recently		2	138										ɾ a m ó	Tupinamba	5 7 4 7	AXBZ	RAMU	3	3.R.C 3.A.V 3.M.C 3.U.V	2.0 1.5 1.75 0.8	0	1282	ɾ a m ó	1282	c c c c	0/n 0/n 0/n 0/n
1918	1387	769	6	bé			βé	logo	later		2	40										β é	Tupinamba	3 7	AX	BE	3	3.B.C 3.E.V	2.0 1.5	1	1284	β é	1284	c c	0/n 0/n
1299	350	0	2	tsakapɨrɨ ~ tsapakɨrɨ			tsakapɨɾɨ	después de algo, alguien, más tarde	later, after something, someone	OL: Also /tsapakɨɾɨ/	9	202								Adv.		ts a k a p ɨ ɾ ɨ	Kokama	2 7 1 7 1 7 5 7	AXBYBYBZ	CAKAPIRI	1	1.C.C 1.A.V 1.K.C 1.A.V 1.P.C 1.I.V 1.R.C 1.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	1	1285	- ts a k a p ɨ ɾ ɨ	33	c c c c c c c c	69-6/- 92-2/ts 1-gen_a/a 4-gen_k/k 93-3/a 63-6/p 131-1/ɨ 3-gen_ɾ/ɾ 72-3/ɨ
28	601	601	1		apuka		apuka	laugh	laugh (intr)													a + p u k a	Omagua	7 1 7 1 7	XBYBZ	APYKA	2	2.A.V 2.P.C 2.Y.V 2.K.C 2.A.V	1.5 1.75 1.3 1.75 0.8	0	1286	a + p u k a	247 1286	c + c c c c	1-gen_a/a + 6-gen_p/p 5-gen_u/u 4-gen_k/k 16-gen_a_tpn_stress/a
787	894	0	0	apuka			apuka	reír, manifestar alegría.	laugh (intr)		9	34								V.		a + p u k a	Kokama	7 1 7 1 7	XBYBZ	APYKA	1	1.A.V 1.P.C 1.Y.V 1.K.C 1.A.V	1.5 1.75 1.3 1.75 0.8	0	1286	a + p u k a	247 1286	c + c c c c	1-gen_a/a + 6-gen_p/p 5-gen_u/u 4-gen_k/k 16-gen_a_tpn_stress/a
2842	1074	0	0	pucá			puká	rir	laugh (intr)		2	131								intr.		p u k á	Tupinamba	1 7 1 7	AXBZ	PYKA	3	3.P.C 3.Y.V 3.K.C 3.A.V	2.0 1.5 1.75 0.8	0	1286	p u k á	1286	c c c c	6-gen_p/p 5-gen_u/u 4-gen_k/k 16-gen_a_tpn_stress/a
2093	1313	832	3	ecó			ekó	lei	law		2	53	infin. de icó							subst.		e k ó	Tupinamba	7 1 2007	XBZ	EKU	3	3.E.V 3.K.C 3.U.V	1.5 1.75 0.8	1	1287	e k ó	1287	c c c	0/n 0/n 0/n
1529	766	762	1	yaparari			japaɾaɾi	echarse, acostarse	lay down		9	257								V.		j a p a ɾ a ɾ i	Kokama	6 7 1 7 5 7 5 7	AXBYBYBZ	JAPARARI	1	1.J.C 1.A.V 1.P.C 1.A.V 1.R.C 1.A.V 1.R.C 1.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	1288	j a p a ɾ a ɾ i	1288	c c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
256	420	0	0		mapɨɾɨ		mapɨɾɨ		lazy													m a p ɨ ɾ ɨ	Omagua	4 7 1 7 5 7	AXBYBZ	MAPIRI	2	2.M.C 2.A.V 2.P.C 2.I.V 2.R.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1290	m a p ɨ ɾ ɨ	207	c c c c c c	12-gen_m/m 1-gen_a/a 6-gen_p/p 9-gen_ɨ/ɨ 3-gen_ɾ/ɾ 9-gen_ɨ/ɨ
1880	690	0	0	ateyma			ateʔɨma	preguiçoso	lazy	OL: Possibly /-eɨma/?	2	37										a t e ʔ ɨ m a	Tupinamba	7 1 7 1 7 4 7	XBYBYBZ	ATEHIMA	3	3.A.V 3.T.C 3.E.V 3.H.C 3.I.V 3.M.C 3.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	1289	a t e ʔ ɨ m a	1289	c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
2582	350	0	0	nheengaryba			ɲeʔeŋaɾɨβa	regente ou dirigente de canto	leader of the song, conductor		2	109										ɲ e ʔ e ŋ a ɾ ɨ β a	Tupinamba	4 7 1 7 4 7 5 7 3 7	AXBYBYBYBZ	NEHENARIBA	3	3.N.C 3.E.V 3.H.C 3.E.V 3.N.C 3.A.V 3.R.C 3.I.V 3.B.C 3.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	0	1291	ɲ e ʔ e ŋ a ɾ ɨ β a	1291	c c c c c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
409	295	0	0		sawa		sawa	leaf, soul, hair, feather, page	leaf													s a w a	Omagua	3 7 6 7	AXBZ	SAWA	2	2.S.C 2.A.V 2.W.C 2.A.V	2.0 1.5 1.75 0.8	1	1292	s a w a	1292	c c c c	11-deaffric/ts 1-gen_a/a 74-5/- 31-kok_simp/-
1284	382	8	1	tsa			tsa	hoja	leaf		9	199								N.		ts a	Kokama	2 7	AX	CA	1	1.C.C 1.A.V	2.0 1.5	1	1292	ts a - -	1292	c c	11-deaffric/ts 1-gen_a/a 74-5/- 31-kok_simp/-
1945	442	427	2	caá			kaʔá	fôlha	leaf		2	42										k a ʔ á	Tupinamba	1 7 1 7	AXBZ	KAHA	3	3.K.C 3.A.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	1	1294	k a ʔ á	1294	c c c c	0/n 0/n 0/n 0/n
2615	443	0	0	oba			oβa	fôlha	leaf		2	114									(s)	o β a	Tupinamba	7 3 2007	XBZ	UBA	3	3.U.V 3.B.C 3.A.V	1.5 1.75 0.8	0	1293	o β a	1293	c c c	0/n 0/n 0/n
213	113	0	0		kuki		kuki	leaf-cutter ant	leaf-cutter ant													k u k i	Omagua	1 7 1 7	AXBZ	KYKI	2	2.K.C 2.Y.V 2.K.C 2.I.V	2.0 1.5 1.75 0.8	0	1295	k u k i	1295	c c c c	0/n 0/n 0/n 0/n
88	529	0	0		iʃaɾi		iʃaɾi		leave (trans)													i + ʃ a ɾ i	Omagua	7 3 7 5 7	XBYBZ	ISARI	2	2.I.V 2.S.C 2.A.V 2.R.C 2.I.V	1.5 1.75 1.3 1.75 0.8	0	1296	i + ʃ - - a ɾ i	212 1296	c + c c c c	8-gen_i/i + 23-deaffric_i/tʃ 33-14/- 32-15/- 1-gen_a/a 3-gen_ɾ/ɾ 21-fin_i_a/i
852	774	0	0	ichari			itʃaɾi	dejar un lugar, una cosa, una persona	leave (trans)		9	57								V.		i + tʃ a ɾ i	Kokama	7 1 7 5 7	XBYBZ	ITARI	1	1.I.V 1.T.C 1.A.V 1.R.C 1.I.V	1.5 1.75 1.3 1.75 0.8	0	1296	i + tʃ - - a ɾ i	212 1296	c + c c c c	8-gen_i/i + 23-deaffric_i/tʃ 33-14/- 32-15/- 1-gen_a/a 3-gen_ɾ/ɾ 21-fin_i_a/i
2108	942	0	0	ejara			ejaɾa	deixar	leave (trans)		2	54								tr.	(s)	s e j a ɾ a	Tupinamba	7 6 7 5 7	XBYBZ	EJARA	3	3.E.V 3.J.C 3.A.V 3.R.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0	1297	s e j a ɾ a	1296	c c c c c c	23-deaffric_i/tʃ 33-14/- 32-15/- 1-gen_a/a 3-gen_ɾ/ɾ 21-fin_i_a/i
586	472	0	0		uʃima		uʃima		leave from (intr)													u + ʃ i m a	Omagua	7 3 7 4 7	XBYBZ	YSIMA	2	2.Y.V 2.S.C 2.I.V 2.M.C 2.A.V	1.5 1.75 1.3 1.75 0.8	0	1298	u + ʃ i m a	55 1298	c + c c c c	5-gen_u/u + 23-deaffric_i/tʃ 24-med_e>i/i 12-gen_m/m 1-gen_a/a
